level_0,Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
106,The LEGO Movie Videogame,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
107,F1 2015,2015.0,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66
108,Metro: Last Light,2014.0,Action,Deep Silver,0.22,0.3,0.04,0.1,0.66
109,God of War III,2015.0,Action,Sony Computer Entertainment,0.24,0.29,0.01,0.1,0.65
110,Dishonored 2,2016.0,Action,Bethesda Softworks,0.22,0.32,0.0,0.1,0.64
111,Rocksmith 2014,2014.0,Misc,Ubisoft,0.35,0.17,0.0,0.11,0.63
112,NHL 16,2015.0,Sports,Electronic Arts,0.36,0.16,0.0,0.11,0.63
113,Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action,Disney Interactive Studios,0.27,0.25,0.0,0.1,0.62
114,Plants vs. Zombies: Garden Warfare,2014.0,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61
115,Dark Souls II,2015.0,Role-Playing,Namco Bandai Games,0.21,0.23,0.08,0.09,0.6
116,LEGO The Hobbit,2014.0,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6
117,WWE 2K17,2016.0,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6
118,NHL 15,2014.0,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6
119,Resident Evil: Revelations 2,2015.0,Action,Capcom,0.13,0.24,0.1,0.07,0.55
120,The Amazing Spider-Man 2 (2014),2014.0,Action,Activision,0.2,0.25,0.02,0.09,0.55
121,Rory McIlroy PGA Tour,2015.0,Action,Electronic Arts,0.18,0.25,0.0,0.08,0.52
122,Lords of the Fallen,2014.0,Role-Playing,Square Enix,0.18,0.24,0.02,0.08,0.52
123,Plants vs. Zombies: Garden Warfare 2,2016.0,Shooter,Electronic Arts,0.2,0.21,0.0,0.08,0.49
124,One Piece: Pirate Warriors 3,2015.0,Action,Namco Bandai Games,0.09,0.22,0.1,0.06,0.46
125,The Walking Dead: Season One,2014.0,Adventure,Telltale Games,0.12,0.25,0.02,0.07,0.46
126,Pro Evolution Soccer 2017,2016.0,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45
127,Skylanders: Trap Team,2014.0,Action,Activision,0.19,0.18,0.0,0.07,0.44
128,Sleeping Dogs,2014.0,Action,Square Enix,0.16,0.2,0.0,0.07,0.43
129,Wolfenstein: The Old Blood,2015.0,Action,Bethesda Softworks,0.1,0.25,0.02,0.06,0.43
130,Trials Fusion,2014.0,Racing,Ubisoft,0.13,0.22,0.01,0.07,0.42
131,Just Dance 2014,2013.0,Misc,Ubisoft,0.19,0.16,0.0,0.07,0.41
132,Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.05,0.31,0.0,0.06,0.41
133,Dragon Quest Builders: Revive Alefgard,2016.0,Role-Playing,Square Enix,0.04,0.11,0.22,0.03,0.4
134,Tales of Zestiria,2015.0,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4
135,Life is Strange,2016.0,Adventure,Square Enix,0.15,0.15,0.03,0.06,0.4
136,Saints Row IV,2015.0,Action,Deep Silver,0.13,0.18,0.03,0.06,0.39
137,Dishonored,2015.0,Action,Bethesda Softworks,0.12,0.2,0.02,0.06,0.39
138,Until Dawn: Rush of Blood,2016.0,Adventure,Sony Computer Entertainment,0.18,0.15,0.0,0.07,0.39
139,Skylanders SWAP Force,2013.0,Platform,Activision,0.2,0.12,0.0,0.06,0.39
140,F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.03,0.29,0.01,0.05,0.39
141,Just Dance 2015,2014.0,Misc,Ubisoft,0.19,0.13,0.0,0.07,0.39
142,Rock Band 4,2015.0,Misc,Harmonix Music Systems,0.26,0.05,0.0,0.07,0.38
143,Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.11,0.21,0.0,0.06,0.38
144,Resident Evil Zero,2016.0,Action,Capcom,0.1,0.17,0.05,0.05,0.37
145,Persona 5,2016.0,Role-Playing,Atlus,0.0,0.0,0.37,0.0,0.37
146,BioShock The Collection,2016.0,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37
147,Rocket League,2016.0,Sports,505 Games,0.03,0.28,0.0,0.05,0.37
148,DiRT Rally,2016.0,Racing,Codemasters,0.04,0.27,0.0,0.05,0.37
149,Just Dance 2016,2015.0,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36
150,Farming Simulator 2015,2015.0,Simulation,Koch Media,0.1,0.2,0.0,0.06,0.35
151,Homefront: The Revolution,2016.0,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35
152,One Piece: Burning Blood,2016.0,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35
153,Mirror's Edge Catalyst,2016.0,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35
154,TrackMania Turbo,2016.0,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35
155,Dead or Alive 5,2015.0,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.34
156,World of Final Fantasy,2016.0,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33
157,NHL 17,2016.0,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33
158,Star Ocean 5: Integrity and Faithlessness,2016.0,Role-Playing,Square Enix,0.07,0.09,0.15,0.03,0.33
159,Murdered: Soul Suspect,2014.0,Action,Square Enix,0.09,0.16,0.02,0.05,0.32
160,Tropico 5,2015.0,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31
161,Skylanders: SuperChargers,2015.0,Action,Activision,0.17,0.08,0.0,0.05,0.31
162,DmC: Devil May Cry,2015.0,Action,Capcom,0.12,0.13,0.0,0.05,0.31
163,Batman: Arkham VR,2016.0,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3
164,Dynasty Warriors 8: Xtreme Legends,2014.0,Action,Tecmo Koei,0.09,0.11,0.06,0.04,0.3
165,Deadpool,2015.0,Action,Activision,0.14,0.11,0.0,0.05,0.29
166,UEFA Euro 2016,2016.0,Sports,Konami Digital Entertainment,0.0,0.22,0.04,0.04,0.29
167,Disgaea 5: Alliance of Vengeance,2015.0,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29
168,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016.0,Action,Square Enix,0.0,0.0,0.28,0.0,0.28
169,Divinity: Original Sin,2015.0,Role-Playing,Focus Home Interactive,0.1,0.12,0.02,0.04,0.28
170,Payday 2,2015.0,Shooter,505 Games,0.1,0.14,0.0,0.05,0.28
171,Attack on Titan (KOEI),2016.0,Action,Tecmo Koei,0.04,0.11,0.11,0.03,0.28
172,Sherlock Holmes: Crimes & Punishments,2014.0,Adventure,Focus Home Interactive,0.09,0.14,0.0,0.04,0.27
173,Batman: Return to Arkham,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0.0,0.04,0.26
174,Tearaway Unfolded,2015.0,Platform,Sony Computer Entertainment,0.09,0.13,0.0,0.04,0.26
175,J Stars Victory Vs.,2015.0,Fighting,Namco Bandai Games,0.08,0.14,0.0,0.04,0.26
176,Battleborn,2016.0,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26
177,PlayStation VR Worlds,2016.0,Misc,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.25
178,The Walking Dead: Season Two,2014.0,Adventure,Telltale Games,0.1,0.09,0.01,0.04,0.25
179,Sword Art Online: Lost Song,2015.0,Role-Playing,Namco Bandai Games,0.1,0.11,0.0,0.04,0.25
180,Onechanbara Z2: Chaos,2014.0,Action,Nippon Ichi Software,0.14,0.03,0.04,0.04,0.24
181,Samurai Warriors 4,2014.0,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24
182,Destiny: The Collection,2016.0,Shooter,Activision,0.05,0.15,0.0,0.04,0.24
183,NBA Live 14,2013.0,Sports,Electronic Arts,0.15,0.05,0.0,0.04,0.24
184,NBA Live 15,2014.0,Sports,Electronic Arts,0.16,0.04,0.0,0.04,0.23
185,Transformers: Devastation,2015.0,Action,Activision,0.1,0.09,0.0,0.04,0.23
186,Tales of Berseria,2016.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23
187,Darksiders II,2015.0,Action,Nordic Games,0.09,0.1,0.0,0.04,0.22
188,Ride,2015.0,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.22
189,Angry Birds Star Wars,2013.0,Strategy,Activision,0.1,0.08,0.0,0.04,0.21
190,Transformer: Rise of the Dark Spark,2014.0,Action,Activision,0.07,0.1,0.01,0.03,0.21
191,The Wolf Among Us,2014.0,Adventure,Telltale Games,0.1,0.07,0.0,0.04,0.21
192,Tony Hawk's Pro Skater 5,2015.0,Sports,Activision,0.09,0.08,0.0,0.03,0.21
193,Assassin's Creed The Ezio Collection,2016.0,Action,Ubisoft,0.04,0.13,0.0,0.03,0.2
194,Valkyria Chronicles,2016.0,Role-Playing,Sega,0.07,0.05,0.05,0.03,0.2
195,Zombie Army Trilogy,2015.0,Shooter,Rebellion Developments,0.05,0.12,0.0,0.03,0.2
196,The Heavy Rain and Beyond: Two Souls Collection,2016.0,Action,Sony Computer Entertainment,0.0,0.17,0.0,0.03,0.2
197,Odin Sphere: Leifthrasir,2016.0,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2
198,Bound By Flame,2014.0,Role-Playing,Focus Home Interactive,0.08,0.09,0.0,0.03,0.19
199,Dynasty Warriors 8: Empires,2014.0,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19
200,Singstar: Ultimate Party,2014.0,Misc,Sony Computer Entertainment Europe,0.0,0.16,0.0,0.03,0.19
201,Sword Art Online: Hollow Realization,2016.0,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19
202,Godzilla (2015),2014.0,Action,Namco Bandai Games,0.11,0.03,0.02,0.03,0.19
203,Saint Seiya: Soldiers' Soul,2015.0,Fighting,Namco Bandai Games,0.0,0.12,0.04,0.02,0.18
204,MotoGP 14 ,2014.0,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03,0.18
205,Senran Kagura: Estival Versus,2015.0,Action,Marvelous Interactive,0.08,0.0,0.08,0.02,0.18
206,Back to the Future: The Game,2015.0,Adventure,Telltale Games,0.1,0.05,0.0,0.03,0.18
207,NBA Live 16,2015.0,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.18
208,Yakuza Zero: The Place of Oath,2015.0,Action,Sega,0.0,0.0,0.17,0.0,0.17
209,MotoGP 15,2015.0,Racing,Milestone S.r.l.,0.0,0.12,0.03,0.02,0.17
210,Toukiden Kiwami,2015.0,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17
211,Jikkyou Powerful Pro Baseball 2016,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17
212,Bladestorm: Nightmare,2015.0,Action,Tecmo Koei,0.08,0.04,0.03,0.02,0.17
